Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFOI;ABBEVILLE;50:08.581N;001:49.950E;aéro ouvert CAP;non;oui
;LFBA;AGEN LA GARENNE;44:10.482N;000:35.433E;aéro ouvert CAP;pcl;oui
;LFDA;AIRE SUR L'ADOUR;43:42.567N;000:14.716W;aéro ouvert CAP;non;non
;LFMA;AIX LES MILLES;43:30.098N;005:22.249E;aéro ouvert CAP;non;oui
;LFKJ;AJACCIO NAPOLEON BONAPARTE;41:55.433N;008:48.151E;aéro ouvert CAP;oui;oui
;LFAQ;ALBERT BRAY;49:58.351N;002:41.483E;aéro ouvert CAP;pcl;oui
;LFKA;ALBERTVILLE;45:37.632N;006:19.781E;aéro restreint;non;oui
;LFCI;ALBI LE SEQUESTRE;43:54.799N;002:06.999E;aéro ouvert CAP;oui;automat total 
;LFOF;ALENCON VALFRAMBERT;48:26.848N;000:06.550E;aéro ouvert CAP;non;oui
;LFMS;ALES CEVENNES;44:04.417N;004:08.633E;aéro ouvert CAP;non;automat total 
;LFXA;AMBERIEU;45:58.784N;005:20.266E;aéro militaire ouvert CAP;non;non
;LFHT;AMBERT LE POYET;45:31.018N;003:44.783E;aéro ouvert CAP;non;oui
;LFEF;AMBOISE DIERRE;47:20.482N;000:56.549E;aéro ouvert CAP;limite;automat total 
;LFAY;AMIENS-GLISY;49:52.383N;002:23.216E;aéro ouvert CAP;pcl;automat total 
;LFFI;ANCENIS;47:24.484N;001:10.650W;aéro ouvert CAP;pcl;automat total 
;LFCD;ANDERNOS LES BAINS;44:45.368N;001:03.800W;aéro ouvert CAP;non;oui
;LFJR;ANGERS MARCE;47:33.615N;000:18.733W;aéro ouvert CAP;pcl;automat total 
;LFBU;ANGOULEME BRIE CHAMPNIERS;45:43.765N;000:13.150E;aéro ouvert CAP;limite;automat bp
;LFLP;ANNECY MEYTHET;45:55.849N;006:06.384E;aéro ouvert CAP;limite;oui
;LFLI;ANNEMASSE;46:11.518N;006:16.165E;aéro ouvert CAP;limite;oui
;LFCH;ARCACHON LA TESTE DE BUCH;44:35.918N;001:06.883W;aéro ouvert CAP;limite;oui
;LFAJ;ARGENTAN;48:42.634N;000:00.233E;aéro ouvert CAP;limite;oui
;LFEG;ARGENTON SUR CREUSE;46:35.816N;001:36.149E;aéro ouvert CAP;non;oui
;LFQD;ARRAS ROCLINCOURT;50:19.482N;002:48.249E;aéro ouvert CAP;non;oui
;LFNJ;ASPRES SUR BUECH;44:31.132N;005:44.249E;aéro restreint;non;non
;LFHO;AUBENAS ARDECHE MERIDIONALE;44:32.366N;004:22.300E;aéro ouvert CAP;non;automat 
;LFJF;AUBENASSON;44:41.782N;005:09.283E;aéro restreint;non;non
;LFEH;AUBIGNY SUR NERE;47:28.833N;002:23.650E;aéro ouvert CAP;non;oui
