LFOI | ABBEVILLE | 1.8325 | 50.143 | aéro ouvert CAP | non | oui
LFBA | AGEN LA GARENNE | 0.59055 | 44.1747 | aéro ouvert CAP | pcl | oui
LFDA | AIRE SUR L'ADOUR | -0.245267 | 43.7094 | aéro ouvert CAP | non | non
LFMA | AIX LES MILLES | 5.37082 | 43.5016 | aéro ouvert CAP | non | oui
LFKJ | AJACCIO NAPOLEON BONAPARTE | 8.80252 | 41.9239 | aéro ouvert CAP | oui | oui
LFAQ | ALBERT BRAY | 2.69138 | 49.9725 | aéro ouvert CAP | pcl | oui
LFKA | ALBERTVILLE | 6.32968 | 45.6272 | aéro restreint | non | oui
LFCI | ALBI LE SEQUESTRE | 2.11665 | 43.9133 | aéro ouvert CAP | oui | automat total 
LFOF | ALENCON VALFRAMBERT | 0.109167 | 48.4475 | aéro ouvert CAP | non | oui
LFMS | ALES CEVENNES | 4.14388 | 44.0736 | aéro ouvert CAP | non | automat total 
LFXA | AMBERIEU | 5.33777 | 45.9797 | aéro militaire ouvert CAP | non | non
LFHT | AMBERT LE POYET | 3.74638 | 45.517 | aéro ouvert CAP | non | oui
LFEF | AMBOISE DIERRE | 0.942483 | 47.3414 | aéro ouvert CAP | limite | automat total 
LFAY | AMIENS-GLISY | 2.38693 | 49.873 | aéro ouvert CAP | pcl | automat total 
LFFI | ANCENIS | -1.1775 | 47.4081 | aéro ouvert CAP | pcl | automat total 
LFCD | ANDERNOS LES BAINS | -1.06333 | 44.7561 | aéro ouvert CAP | non | oui
LFJR | ANGERS MARCE | -0.312217 | 47.5603 | aéro ouvert CAP | pcl | automat total 
LFBU | ANGOULEME BRIE CHAMPNIERS | 0.219167 | 45.7294 | aéro ouvert CAP | limite | automat bp
LFLP | ANNECY MEYTHET | 6.1064 | 45.9308 | aéro ouvert CAP | limite | oui
LFLI | ANNEMASSE | 6.26942 | 46.192 | aéro ouvert CAP | limite | oui
LFCH | ARCACHON LA TESTE DE BUCH | -1.11472 | 44.5986 | aéro ouvert CAP | limite | oui
LFAJ | ARGENTAN | 0.00388333 | 48.7106 | aéro ouvert CAP | limite | oui
LFEG | ARGENTON SUR CREUSE | 1.60248 | 46.5969 | aéro ouvert CAP | non | oui
LFQD | ARRAS ROCLINCOURT | 2.80415 | 50.3247 | aéro ouvert CAP | non | oui
LFNJ | ASPRES SUR BUECH | 5.73748 | 44.5189 | aéro restreint | non | non
LFHO | AUBENAS ARDECHE MERIDIONALE | 4.37167 | 44.5394 | aéro ouvert CAP | non | automat 
LFJF | AUBENASSON | 5.15472 | 44.6964 | aéro restreint | non | non
LFEH | AUBIGNY SUR NERE | 2.39417 | 47.4806 | aéro ouvert CAP | non | oui
LFDH | AUCH GERS | 0.6 | 43.6869 | aéro ouvert CAP | pcl | automat total 
LFLW | AURILLAC | 2.41667 | 44.8975 | aéro ouvert CAP | pcl | automat total 
LFQF | AUTUN BELLEVUE | 4.26222 | 46.9725 | aéro ouvert CAP | non | oui
LFLA | AUXERRE BRANCHES | 3.49665 | 47.8464 | aéro ouvert CAP | pcl | automat total 
LFGE | AVALLON | 3.89943 | 47.5031 | aéro ouvert CAP | non | non
LFMV | AVIGNON CAUMONT | 4.90193 | 43.9067 | aéro ouvert CAP | pcl | automat total 
LFNT | AVIGNON PUJAUT | 4.75555 | 43.997 | aéro restreint | non | non
LFRW | AVRANCHES LE VAL SAINT PERE | -1.40443 | 48.6616 | aéro restreint | non | oui
LFCB | BAGNERES DE LUCHON | 0.6 | 42.8 | aéro ouvert CAP | non | oui
LFAO | BAGNOLES DE L'ORNE COUTERNE | -0.3836 | 48.5456 | aéro ouvert CAP | non | oui
LFFL | BAILLEAU ARMENONVILLE | 1.64 | 48.5158 | aéro restreint | non | non
LFSB | BALE-MULHOUSE | 7.52917 | 47.59 | aéro ouvert CAP | oui | oui
LFEU | BAR LE DUC LES HAUTS DE CHEE | 5.18583 | 48.8683 | aéro ouvert CAP | non | non
